               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046836,            0.025543,            0.011292,             0.78642,             0.91381,              0.9402,             0.51856,            0.037737,            0.017269,           0.0081506,           0.0071268,           0.0071268,            0.011027
                  37,            0.044023,            0.024338,            0.010782,             0.85957,             0.95332,             0.95011,             0.56161,            0.037985,            0.016963,           0.0077396,           0.0071924,           0.0071924,           0.0084924
                  38,             0.04661,            0.025015,           0.0098469,             0.90838,              0.9272,             0.97022,             0.52412,            0.036299,             0.01688,           0.0073361,           0.0071566,           0.0071566,           0.0071566
                  39,             0.04574,            0.024149,           0.0092948,             0.72031,             0.90857,             0.89817,             0.47662,            0.040552,            0.017649,           0.0074931,           0.0071566,           0.0071566,           0.0071566
                  40,            0.044822,            0.023991,           0.0092908,             0.79935,             0.94565,             0.93638,             0.50825,            0.034353,            0.016665,           0.0075108,           0.0070243,           0.0070243,           0.0070243
                  41,            0.038366,            0.023059,           0.0086823,             0.87962,             0.94323,             0.97072,             0.58649,            0.032856,             0.01652,           0.0066799,           0.0068906,           0.0068906,           0.0068906
                  42,            0.041108,            0.024702,            0.008629,             0.93432,             0.98293,             0.98602,             0.58252,            0.032766,            0.016558,           0.0068706,           0.0067555,           0.0067555,           0.0067555
                  43,            0.041943,             0.02412,           0.0088156,             0.89425,             0.94512,             0.96845,             0.56634,            0.033862,            0.016556,           0.0064432,           0.0066191,           0.0066191,           0.0066191
                  44,             0.04014,            0.024935,           0.0081216,             0.93095,             0.97319,               0.979,             0.61009,            0.031471,            0.016327,           0.0062651,           0.0064816,           0.0064816,           0.0064816
                  45,            0.039804,            0.023952,           0.0076997,             0.93379,             0.98425,             0.98247,             0.54193,            0.032096,            0.016299,           0.0061877,           0.0063432,           0.0063432,           0.0063432
                  46,            0.038631,            0.023416,           0.0077074,             0.94623,              0.9809,             0.98838,             0.63212,            0.029729,            0.016058,           0.0059252,            0.006204,            0.006204,            0.006204
                  47,            0.037332,            0.023542,           0.0072732,             0.90556,              0.9765,             0.96934,             0.61065,            0.031096,            0.016223,           0.0059539,            0.006064,            0.006064,            0.006064
                  48,             0.03755,             0.02303,           0.0073577,             0.96437,             0.97242,             0.99039,             0.63242,            0.028187,            0.016096,           0.0059436,           0.0059235,           0.0059235,           0.0059235
                  49,            0.036466,            0.023912,            0.007164,             0.93856,              0.9683,              0.9818,             0.60549,            0.032336,            0.016392,           0.0057543,           0.0057826,           0.0057826,           0.0057826
                  50,            0.035929,            0.022604,           0.0070743,             0.96327,              0.9799,             0.98523,              0.6498,            0.027523,             0.01582,           0.0054414,           0.0056413,           0.0056413,           0.0056413
                  51,            0.035673,            0.022896,           0.0067284,             0.94976,             0.98584,              0.9896,             0.61748,            0.029363,            0.015969,           0.0054113,              0.0055,              0.0055,              0.0055
                  52,            0.032875,            0.023105,           0.0065839,             0.96345,             0.96949,             0.99029,             0.65802,            0.026498,            0.015601,           0.0052125,           0.0053587,           0.0053587,           0.0053587
                  53,            0.032734,            0.021949,           0.0060313,             0.96543,              0.9723,             0.98927,             0.63583,             0.02964,            0.015946,           0.0050156,           0.0052174,           0.0052174,           0.0052174
                  54,             0.03546,            0.021966,           0.0060325,             0.97276,             0.96832,             0.99073,             0.64971,            0.027747,            0.015721,           0.0049708,           0.0050765,           0.0050765,           0.0050765
                  55,            0.032356,            0.021358,           0.0060914,             0.97329,             0.97106,             0.99157,              0.6436,            0.029237,            0.015674,           0.0048332,            0.004936,            0.004936,            0.004936
                  56,            0.034453,            0.022433,            0.005905,             0.96151,             0.97312,             0.98454,             0.66154,            0.026029,            0.015424,           0.0048314,            0.004796,            0.004796,            0.004796
                  57,            0.030213,            0.020929,           0.0057616,             0.97462,               0.975,             0.98623,             0.63764,            0.028435,             0.01563,           0.0046381,           0.0046568,           0.0046568,           0.0046568
                  58,            0.033733,            0.023163,           0.0059972,             0.96163,             0.97968,             0.98457,             0.66096,            0.024977,            0.015089,           0.0050203,           0.0045184,           0.0045184,           0.0045184
                  59,            0.030932,             0.02115,            0.005784,             0.97471,             0.97085,             0.98831,             0.64103,            0.027316,            0.015414,           0.0049539,           0.0043809,           0.0043809,           0.0043809
                  60,            0.032608,            0.022253,            0.005915,             0.97005,             0.97586,             0.98724,             0.68576,            0.023998,            0.014703,           0.0048477,           0.0042445,           0.0042445,           0.0042445
                  61,              0.0306,              0.0218,           0.0055619,             0.96987,             0.97242,             0.98463,             0.62337,            0.027312,            0.015091,           0.0046929,           0.0041094,           0.0041094,           0.0041094
                  62,            0.029857,            0.022124,           0.0054805,             0.96941,             0.97152,             0.98643,             0.68434,            0.023305,            0.014634,           0.0045214,           0.0039757,           0.0039757,           0.0039757
                  63,            0.027826,            0.020309,           0.0050044,             0.96183,             0.98549,             0.98943,             0.68749,            0.023273,            0.014527,           0.0042488,           0.0038434,           0.0038434,           0.0038434
                  64,            0.027517,            0.021368,           0.0049959,             0.96336,             0.97886,             0.98682,             0.69016,            0.023617,            0.014631,           0.0041544,           0.0037128,           0.0037128,           0.0037128
                  65,            0.028858,            0.022201,           0.0050686,             0.94757,             0.98663,             0.99179,             0.67228,            0.024736,            0.014971,           0.0039865,            0.003584,            0.003584,            0.003584
                  66,            0.027675,            0.021047,           0.0050378,             0.97262,             0.98209,             0.99276,             0.69211,            0.023672,            0.014746,           0.0039838,            0.003457,            0.003457,            0.003457
                  67,             0.02781,            0.020675,           0.0050303,             0.97513,              0.9796,             0.99258,             0.67885,             0.02335,            0.014678,           0.0038513,           0.0033321,           0.0033321,           0.0033321
                  68,            0.025859,            0.020846,           0.0046208,             0.97552,             0.96671,             0.99156,             0.70445,            0.022531,            0.014449,           0.0037566,           0.0032093,           0.0032093,           0.0032093
