group,image_name,image_path,max_tokens,n,mean_ms,std_ms,min_ms,max_ms
simple,simple_01.png,./test_images/simple/simple_01.png,30,1,737.578109,0.000000,737.578109,737.578109
simple,simple_02.png,./test_images/simple/simple_02.png,30,1,734.304808,0.000000,734.304808,734.304808
simple,simple_03.png,./test_images/simple/simple_03.png,30,1,737.010492,0.000000,737.010492,737.010492
simple,simple_04.png,./test_images/simple/simple_04.png,30,1,740.564260,0.000000,740.564260,740.564260
simple,simple_05.png,./test_images/simple/simple_05.png,30,1,734.844471,0.000000,734.844471,734.844471
complex,complex_01.jpg,./test_images/complex/complex_01.jpg,30,1,737.425011,0.000000,737.425011,737.425011
complex,complex_02.jpg,./test_images/complex/complex_02.jpg,30,1,794.020113,0.000000,794.020113,794.020113
complex,complex_03.jpg,./test_images/complex/complex_03.jpg,30,1,687.534257,0.000000,687.534257,687.534257
complex,complex_04.jpg,./test_images/complex/complex_04.jpg,30,1,708.411900,0.000000,708.411900,708.411900
complex,complex_5.jpg,./test_images/complex/complex_5.jpg,30,1,763.663588,0.000000,763.663588,763.663588
